CdStationMesureEauxSurface;LbStationMesureEauxSurface;DtAnaTemp;HrAnaTemp;CdParametre;LbLongParamètre;CdFractionAnalysee;LbFractionAnalysee;RsAneTemp;CdUniteMesure;SymUniteMesure;CdStatutAnaTemp;MnemoStatutAna;CdQualAna;LbQualAna;INTProd;NomProducteur;INTGest;NomGest
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;13:00:00;1301;Température de l'Eau;23;Eau brute;6.9140000343322798;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;14:00:00;1301;Température de l'Eau;23;Eau brute;7.1919999122619602;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;15:00:00;1301;Température de l'Eau;23;Eau brute;7.4439997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;16:00:00;1301;Température de l'Eau;23;Eau brute;7.6700000762939498;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;17:00:00;1301;Température de l'Eau;23;Eau brute;7.7699999809265101;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;18:00:00;1301;Température de l'Eau;23;Eau brute;7.8699998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;19:00:00;1301;Température de l'Eau;23;Eau brute;7.9450001716613796;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;20:00:00;1301;Température de l'Eau;23;Eau brute;7.9699997901916504;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;21:00:00;1301;Température de l'Eau;23;Eau brute;7.9949998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;22:00:00;1301;Température de l'Eau;23;Eau brute;7.9949998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;23:00:00;1301;Température de l'Eau;23;Eau brute;8.0450000762939506;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;00:00:00;1301;Température de l'Eau;23;Eau brute;7.9949998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;8.0200004577636701;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;8.0450000762939506;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;8.0450000762939506;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;8.0200004577636701;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;05:00:00;1301;Température de l'Eau;23;Eau brute;7.9949998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;06:00:00;1301;Température de l'Eau;23;Eau brute;7.9699997901916504;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;07:00:00;1301;Température de l'Eau;23;Eau brute;7.9200000762939498;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;08:00:00;1301;Température de l'Eau;23;Eau brute;7.8699998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
